AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address
55269,1418095,11/01/2019,01/29/2022,Nursing Home,PALM GARDEN OF PINELLAS,200 16TH AVE SE,,LARGO,FL,33771,Pinellas,(727) 585-9377,200 16TH AVE SE,,LARGO,FL,33771,Pinellas,LICENSED,PALM GARDEN OF PINELLAS LLC,11/01/2013,SANDRA IRENE MITCHELL,120,For-Profit,www.palmgarden.com
95606,1419096,11/01/2019,01/29/2022,Nursing Home,PALM GARDEN OF PORT ST. LUCIE,1751 SE HILLMOOR DRIVE,,PORT SAINT LUCIE,FL,34952,St. Lucie,(772) 335-8844,1751 SE HILLMOOR DRIVE,,PORT SAINT LUCIE,FL,34952,St. Lucie,LICENSED,PALM GARDEN OF PORT ST LUCIE  LLC,11/01/2013,CHAROLYN HICKS,120,For-Profit,www.palmgarden.com
62925,1421096,09/06/2019,01/29/2022,Nursing Home,PALM GARDEN OF SUN CITY,3850 UPPER CREEK DR,,SUN CITY CENTER,FL,33573,Hillsborough,(813) 633-2875,3850 UPPER CREEK DR,,SUN CITY CENTER,FL,33573,Hillsborough,LICENSED,PALM GARDEN OF SUN CITY CENTER LLC,11/01/2013,BRIAN BENTZ,120,For-Profit,www.palmgarden.com
62922,1420095,11/01/2019,01/29/2022,Nursing Home,PALM GARDEN OF TAMPA,3612 E 138TH AVE,,TAMPA,FL,33613,Hillsborough,(813) 972-8775,3612 E 138TH AVE,,TAMPA,FL,33613,Hillsborough,LICENSED,PALM GARDEN OF TAMPA LLC,11/01/2013,MICHELE L FORNEY,120,For-Profit,www.palmgarden.com
93105,1415096,04/24/2020,01/29/2022,Nursing Home,PALM GARDEN OF VERO BEACH,1755 37TH STREET,,VERO BEACH,FL,32960,Indian River,(772) 567-2443,1755 37TH STREET,,VERO BEACH,FL,32960,Indian River,LICENSED,PALM GARDEN OF VERO BEACH  LLC,11/01/2013,EDWIN ROJAS,189,For-Profit,www.palmgardencare.com
95036,1416096,09/06/2019,01/29/2022,Nursing Home,PALM GARDEN OF WEST PALM BEACH,300 EXECUTIVE CENTER DRIVE,,WEST PALM BEACH,FL,33401,Palm Beach,(561) 471-5566,300 EXECUTIVE CENTER DRIVE,,WEST PALM BEACH,FL,33401,Palm Beach,LICENSED,PALM GARDEN OF WEST PALM BEACH  LLC,11/01/2013,MICHAEL SILIEN,176,For-Profit,WWW.PALMGARDEN.COM
65314,1414096,11/01/2019,01/29/2022,Nursing Home,PALM GARDEN OF WINTER HAVEN,1120 CYPRESS GARDENS BLVD,,WINTER HAVEN,FL,33884,Polk,(863) 293-3100,1120 CYPRESS GARDENS BLVD,,WINTER HAVEN,FL,33884,Polk,LICENSED,PALM GARDEN OF WINTER HAVEN LLC,11/01/2013,SAMANTHA LAURA CLEARWATER,120,For-Profit,WWW.PALMGARDEN.COM
111344,1424096,12/01/2019,02/28/2022,Nursing Home,PALMETTO CARE CENTER,6750 WEST 22ND COURT,,HIALEAH,FL,33016,Miami-Dade,(786) 587-1377,6750 WEST 22ND COURT,,HIALEAH,FL,33016,Miami-Dade,LICENSED,PALMETTO FACILITY INC,12/01/2015,JOSE SUAREZ,90,For-Profit,www.palmettocarecenter.com
35910286,1423096,02/01/2020,05/01/2022,Nursing Home,PALMETTO SUBACUTE CARE CENTER,7600 SW 8TH STREET,,MIAMI,FL,33144,Miami-Dade,(305) 261-2525,7600 SW 8TH STREET,,MIAMI,FL,33144,Miami-Dade,LICENSED,PALMETTO OPERATING LLC,02/01/2018,MONICA M CALONGE,95,For-Profit,www.palmettosubacute.com
100601,1098096,12/16/2019,02/28/2022,Nursing Home,PALMS CARE CENTER,3370 NW 47TH TERRACE,,LAUDERDALE LAKES,FL,33319,Broward,(954) 739-6700,3370 NW 47TH TERRACE,,LAUDERDALE LAKES,FL,33319,Broward,LICENSED,PALMS FACILITY INC,12/05/2015,KARLENE CASE,120,For-Profit,www.palmscc.com
62805,14250962,09/19/2018,05/08/2021,Nursing Home,PALMS OF SEBRING  THE,725 S PINE ST,,SEBRING,FL,33870,Highlands,(863) 385-0161,725 S PINE ST,,SEBRING,FL,33870,Highlands,LICENSED,SEBRING SENIOR LIVING INC.,09/19/2018,CHEVONNE DODGE FOSTER,120,Not-For-Profit,www.palmsofsebring.com
35960914,130470985,02/01/2020,05/01/2022,Nursing Home,PALMS REHABILITATION AND HEALTHCARE CENTER  THE,5405 BABCOCK ST NE,,PALM BAY,FL,32905,Brevard,(321) 722-0660,5405 BABCOCK SREET  NE,,PALM BAY,FL,32905,Brevard,LICENSED,5405 BABCOCK STREET OPERATIONS LLC,02/01/2012,NANCY S MCGOLDRICK,120,For-Profit,www.consulatehealthcare.com
20305,14270951,12/04/2018,03/03/2021,Nursing Home,PANAMA CITY HEALTH AND REHABILITATION CENTER,924 W 13TH ST,,PANAMA CITY,FL,32401,Bay,(850) 763-8463,924 W 13TH ST,,PANAMA CITY,FL,32401,Bay,INACTIVE,NF PANAMA  LLC,12/04/2008,RAVEN SYMONE JACKSON,120,For-Profit,
30104,1380096,01/01/2020,12/18/2021,Nursing Home,PARK MEADOWS HEALTH AND REHABILITATION CENTER,3250 SW 41ST PLACE,,GAINESVILLE,FL,32608,Alachua,3523781558,3250 SW 41ST PL,,GAINESVILLE,FL,32608-2621,Alachua,LICENSED,THE OAKS NH  L.L.C.,09/20/2000,ROBERT RITTER,148,For-Profit,www.greystonehealth.com
41612,1256096,08/01/2018,10/29/2020,Nursing Home,PARK RIDGE NURSING CENTER,730 COLLEGE STREET,,JACKSONVILLE,FL,32204,Duval,(904) 358-6711,730 COLLEGE STREET,,JACKSONVILLE,FL,32204,Duval,LICENSED,SAIL NURSING AND REHABILITATION CENTER  LLC,08/01/2018,MAUREEN GARTLAND,104,For-Profit,www.parkridgenursingcenter.com
100625,1430095,01/01/2020,03/31/2022,Nursing Home,PARK SUMMIT AT CORAL SPRINGS,8500 ROYAL PALM BLVD,,CORAL SPRINGS,FL,33065,Broward,(954) 752-9500,400 CENTRE BLVD,,NEWTON,MA,02458,,LICENSED,SNH FLA TENANT LLC,01/01/2020,DEBRA LYNN ORMOS,35,For-Profit,www.fivestarseniorliving.com/communities/fl/coral-springs/park-summit
30101,10050951,12/01/2019,02/28/2022,Nursing Home,PARKLANDS CARE CENTER,1000 SW 16TH AVE,,GAINESVILLE,FL,32601,Alachua,(352) 376-2461,1000 SW 16TH AVE,,GAINESVILLE,FL,32601,Alachua,LICENSED,PARKLANDS FACILITY INC,12/01/2015,ELLIOT JAMES WILLIAMS,120,For-Profit,www.parklandscc.com
74804,1089096,02/01/2020,05/01/2022,Nursing Home,PARKS HEALTHCARE AND REHABILITATION CENTER,9311 S ORANGE BLOSSOM TRL,,ORLANDO,FL,32837-8301,Orange,(407) 858-0455,9311 SOUTH ORANGE BLOSSOM TRAIL,,ORLANDO,FL,32837,Orange,LICENSED,9311 SOUTH ORANGE BLOSSOM TRAIL OPERATIONS LLC,02/01/2012,BRITTNEY M TYLER,120,For-Profit,www.consulatehealthcare.com
46407,1124095,12/04/2018,03/03/2021,Nursing Home,PARKSIDE HEALTH AND REHABILITATION CENTER,451 S AMELIA AVE,,DELAND,FL,32724,Volusia,(386) 734-8614,451 S AMELIA AVE,,DELAND,FL,32724,Volusia,LICENSED,MF OAKWOOD  LLC,12/04/2008,NAOMI MARR,122,For-Profit,
74802,1309096,09/19/2018,12/17/2020,Nursing Home,PARKVIEW REHABILITATION CENTER AT WINTER PARK,2075 LOCH LOMOND DRIVE,,WINTER PARK,FL,32792,Orange,(407) 628-5418,2075 LOCH LOMOND DRIVE,,WINTER PARK,FL,32792,Orange,LICENSED,PARKVIEW REHABILITATION CENTER AT WINTER PARK  LLC,09/19/2018,NORMA LILIANA ALVAREZ,138,For-Profit,www.hcr-manorcare.com
41006,1325096,08/01/2019,05/01/2021,Nursing Home,PAVILION FOR HEALTH CARE  THE,3465 CAROLINE BLVD,,PENNEY FARMS,FL,32079,Clay,(904) 297-9700,3465 CAROLINE BLVD,,PENNEY FARMS,FL,32079,Clay,LICENSED,PENNEY RETIREMENT COMMUNITY INC,02/01/1992,JAMIE LYNN STANDLEY,50,Not-For-Profit,VisitPRC.org
55240,1082095,11/01/2019,01/29/2022,Nursing Home,PENINSULA CARE AND REHABILITATION CENTER,900 BECKETT WAY,,TARPON SPRINGS,FL,34689,Pinellas,(727) 934-0876,900 BECKETT WAY,,TARPON SPRINGS,FL,34689,Pinellas,LICENSED,LP TARPON SPRINGS  LLC,11/01/2007,RYAN DULSKI,120,For-Profit,https://www.ltcrevolution.com/
85809,14390962,11/01/2018,01/29/2021,Nursing Home,PINEBROOK CENTER,1240 PINEBROOK ROAD,,VENICE,FL,34285,Sarasota,(941) 488-6733,1240 PINEBROOK ROAD,,VENICE,FL,34285,Sarasota,LICENSED,1240 PINEBROOK ROAD  LLC,11/01/2001,DANA BEDFORD,120,For-Profit,www.genesishealthcare.com
111334,14400961,06/01/2019,08/29/2021,Nursing Home,PINECREST REHABILITATION CENTER,13650 NE 3RD COURT,,NORTH MIAMI,FL,33161,Miami-Dade,(305) 893-1170,13650 NE 3RD COURT,,NORTH MIAMI,FL,33161,Miami-Dade,LICENSED,PINECREST CONVALESCENT CENTER  LLC,06/01/2000,DAVID GOLD,100,For-Profit,www.pinecrest-rehab.com
55258,16060961,10/01/2019,12/29/2021,Nursing Home,PINELLAS POINT NURSING AND REHAB CENTER,5601 31ST ST S,,SAINT PETERSBURG,FL,33712,Pinellas,(727) 867-6955,5601 31ST ST S,,SAINT PETERSBURG,FL,33712,Pinellas,LICENSED,SOVEREIGN HEALTHCARE OF PINELLAS POINT LLC,10/01/2003,SHAWN M TAYLOR,60,For-Profit,www.pinellaspointrehab.com
111335,1442096,09/18/2019,12/16/2021,Nursing Home,PINES NURSING HOME,301 NE 141 STREET,,MIAMI,FL,33161,Miami-Dade,(305) 893-1102,301 NE 141 STREET,,MIAMI,FL,33161,Miami-Dade,LICENSED,PINES NURSING HOME 2015 LLC,09/18/2015,ANDREW NEUMAN,45,For-Profit,pinesnursinghome.com
85812,1443095,12/21/2019,03/20/2022,Nursing Home,PINES OF SARASOTA,1501 N ORANGE AVE,D #1  O #9  P #11 & Q/R #16,SARASOTA,FL,34236-2631,Sarasota,(941) 365-0250,1501 N ORANGE AVE,,SARASOTA,FL,34236-2631,Sarasota,LICENSED,PINES OF SARASOTA HEALTHCARE LLC,12/21/2015,MELANIE A MANNEY,204,Not-For-Profit,www.pinesofsarasota.org
74908,16340962,02/01/2020,05/01/2022,Nursing Home,PLANTATION BAY REHABILITATION CENTER,4641 OLD CANOE CREEK ROAD,,SAINT CLOUD,FL,34769,Osceola,(407) 892-7344,4641 OLD CANOE CREEK ROAD,,SAINT CLOUD,FL,34769,Osceola,LICENSED,4641 OLD CANOE CREEK ROAD OPERATIONS LLC,02/01/2012,ELENA DESMOND,120,For-Profit,www.consulatehealthcare.com
100619,1447096,06/01/2019,08/29/2021,Nursing Home,PLANTATION NURSING & REHABILITATION CENTER,4250 NW 5TH ST,,PLANTATION,FL,33317,Broward,(954) 587-3296,4250 NW 5TH ST,,PLANTATION,FL,33317,Broward,LICENSED,PLANTATION NURSING & REHABILITATION CENTER LLC,06/01/2000,IAN TRENCHFIELD,152,For-Profit,www.plantationrehab.com
30105,1568096,06/01/2018,08/29/2020,Nursing Home,PLAZA HEALTH AND REHAB,4842 SW ARCHER ROAD,,GAINESVILLE,FL,32607,Alachua,(352) 376-8821,P. O. BOX 15369,,FERNANDINA BEACH,FL,32035,Nassau,LICENSED,ARCHER HEALTH VENTURES  LLC,06/01/2018,MICHAEL A WHEELER,180,For-Profit,www.gainesvillehealthcare.org
62939,1618096,08/29/2018,11/26/2020,Nursing Home,PLAZA WEST HEALTH CENTER,912 AMERICAN EAGLE BLVD,,SUN CITY CENTER,FL,33573,Hillsborough,(813) 633-1992,912 AMERICAN EAGLE BLVD,,SUN CITY CENTER,FL,33573,Hillsborough,LICENSED,CCRC OPCO - SUN CITY CENTER  LLC,08/29/2014,CHRISTOPHER GRELLA,113,For-Profit,https://freedomplazafl.com/
85827,1449096,10/01/2019,12/29/2021,Nursing Home,PLYMOUTH HARBOR INCORPORATED,700 JOHN RINGLING BLVD,,SARASOTA,FL,34236,Sarasota,(941) 361-7246,700 JOHN RINGLING BLVD,,SARASOTA,FL,34236,Sarasota,LICENSED,PLYMOUTH HARBOR INCORPORATED,01/15/1966,JOSEPH J DEVORE,60,Not-For-Profit,www.plymouthharbor.org
100604,1097096,07/01/2019,09/28/2021,Nursing Home,POMPANO HEALTH AND REHABILITATION CENTER,51 W SAMPLE ROAD,,POMPANO BEACH,FL,33064,Broward,(954) 942-5530,51 W SAMPLE ROAD,,POMPANO BEACH,FL,33064,Broward,LICENSED,FI - POMPANO REHAB  LLC,07/01/2003,DEZRENE SPENCE,127,Not-For-Profit,pompanohealthandrehab.com
111308,11400961,01/01/2020,03/31/2022,Nursing Home,PONCE PLAZA NURSING & REHABILITATION CENTER,335 SW 12 AVENUE,,MIAMI,FL,33130,Miami-Dade,(305) 545-6695,335 SW 12 AVENUE,,MIAMI,FL,33130,Miami-Dade,LICENSED,PONCE PLAZA  INC.,01/01/2002,MARCO A CARRASCO,147,Not-For-Profit,
45503,1450096,06/01/2019,08/29/2021,Nursing Home,PONCE THERAPY CARE CENTER  THE,1999 OLD MOULTRIE ROAD,,SAINT AUGUSTINE,FL,32086,St. Johns,9048243311,1999 OLD MOULTRIE RD,,ST AUGUSTINE,FL,32086-5164,St. Johns,LICENSED,PONCE NH LLC,06/01/2019,KAREN BUTLER,120,For-Profit,www.greystonehealth.com
80802,14260961,04/10/2020,02/28/2022,Nursing Home,PORT CHARLOTTE REHABILITATION CENTER,25325 RAMPART BLVD,,PORT CHARLOTTE,FL,33983,Charlotte,(941) 629-7466,25325 RAMPART BLVD,,PORT CHARLOTTE,FL,33983,Charlotte,LICENSED,DEEP CREEK RNC  LLC,12/01/2003,HEATHER SZMIGIEL,152,For-Profit,www.portcharlotterehab.com
46424,130471000,10/01/2019,12/29/2021,Nursing Home,PORT ORANGE NURSING AND REHAB CENTER,5600 VICTORIA GARDENS BLVD,,PORT ORANGE,FL,32127,Volusia,(386) 760-7773,5600 VICTORIA GARDENS BLVD,,PORT ORANGE,FL,32127,Volusia,LICENSED,SOVEREIGN HEALTHCARE OF PORT ORANGE  LLC,10/01/2003,TIMOTHY LEONARD,120,For-Profit,www.portorangerehab.com
95604,1452096,08/08/2018,11/05/2020,Nursing Home,PORT ST. LUCIE REHABILITATION AND HEALTHCARE,7300 OLEANDER AVE,,PORT ST LUCIE,FL,34952-8299,St. Lucie,(772) 466-4100,7300 OLEANDER AVE,,PORT SAINT LUCIE,FL,34952,St. Lucie,LICENSED,PSL REHABILITATION AND HEALTHCARE LLC,08/08/2018,PATRICK DONIGAN,180,For-Profit,
81109,1175096,06/01/2019,08/29/2021,Nursing Home,PREMIER PLACE AT THE GLENVIEW,100 GLENVIEW PLACE,,NAPLES,FL,34108,Collier,(239) 591-0011,100 GLENVIEW PLACE,,NAPLES,FL,34108,Collier,LICENSED,PELICAN BAY RETIREMENT SERVICES  INC.,06/01/1994,PATRICK MICHAEL NOONAN,42,Not-For-Profit,www.glenviewnaples.com
35961068,130471068,04/05/2019,07/03/2021,Nursing Home,PRUITTHEALTH - FLEMING ISLAND,2040 TOWN CENTER BLVD.,,FLEMING ISLAND,FL,32003,Clay,(770) 279-6200,2040 TOWN CENTER BLVD.,,FLEMING ISLAND,FL,32003,Clay,LICENSED,PRUITTHEALTH - FLEMING ISLAND  LLC,04/05/2019,ERIC WEISZ,97,For-Profit,
35961066,130471066,12/14/2018,03/13/2021,Nursing Home,PRUITTHEALTH - PANAMA CITY,3212 JENKS AVENUE,,PANAMA CITY,FL,32405,Bay,(770) 279-6200,3212 JENKS AVENUE,,PANAMA CITY,FL,32405,Bay,LICENSED,PRUITTHEALTH-PANAMA CITY  LLC,12/14/2018,AMANDA WRAY,77,For-Profit,Pruitthealth.com
35960972,130471024,01/31/2020,04/30/2022,Nursing Home,PRUITTHEALTH - SANTA ROSA,5530 NORTHROP ROAD,,MILTON,FL,32570,Santa Rosa,(850) 983-8888,5530 NORTHROP ROAD,,MILTON,FL,32570,Santa Rosa,LICENSED,PRUITTHEALTH - SANTA ROSA  LLC,01/31/2003,PEGGY MCCULLOUGH,120,For-Profit,www.pruitthealth.com
35961067,130471080,05/29/2020,05/31/2022,Nursing Home,PRUITTHEALTH - SOUTHWOOD,2301 BLUFF OAK WAY,,TALLAHASSEE,FL,32311,Leon,(678) 533-5770,2301 BLUFF OAK WAY,,TALLAHASSEE,FL,32311,Leon,LICENSED,PRUITTHEALTH - SOUTHWOOD  LLC,05/28/2020,SCOTT JEFFERY BELL,64,For-Profit,
55293,1462096,08/29/2018,11/26/2020,Nursing Home,REGENCY OAKS HEALTH CENTER,2770 REGENCY OAKS BLVD,,CLEARWATER,FL,33759,Pinellas,(727) 791-1500,2770 REGENCY OAKS BLVD,,CLEARWATER,FL,33759,Pinellas,LICENSED,CCRC REGENCY OAKS LLC,08/29/2014,RANCE MASI,60,For-Profit,https://regencyoaksseniorliving.com/
111345,1384095,05/01/2019,07/29/2021,Nursing Home,REGENTS PARK AT AVENTURA,18905 NE 25TH AVE,,AVENTURA,FL,33180,Miami-Dade,(305) 932-6360,18905 NE 25TH AVE,,AVENTURA,FL,33180,Miami-Dade,LICENSED,REGENTS PARK AT AVENTURA  INC.,05/01/2000,MENASHE SAPIRMAN,180,For-Profit,https://regentsparkaventura.com/
95028,1466096,10/01/2019,12/29/2021,Nursing Home,REGENTS PARK NURSING & REHABILITATION CENTER,6363 VERDE TRAIL,,BOCA RATON,FL,33433,Palm Beach,(561) 483-9282,2699 STIRLING RD,B100,FT LAUDERDALE,FL,33312-6517,Broward,LICENSED,REGENTS PARK  INC.,11/18/1991,GILDA OSBORN,180,For-Profit,www.RegentsParkBocaRaton.com
41614,1467096,06/01/2019,08/29/2021,Nursing Home,REGENTS PARK OF JACKSONVILLE,8700 A C SKINNER PARKWAY,,JACKSONVILLE,FL,32256,Duval,(904) 642-7300,8700 A C SKINNER PARKWAY,,JACKSONVILLE,FL,32256,Duval,LICENSED,ISLF DEERWOOD PLACE JACKSONVILLE  LLC,06/01/2004,LARRY MANN,120,Not-For-Profit,Regentsparkofjacksonville.com
100628,1044096,06/01/2019,08/29/2021,Nursing Home,REGENTS PARK OF SUNRISE,9711 W OAKLAND PARK BLVD,,SUNRISE,FL,33351,Broward,(954) 572-4000,9711 W OAKLAND PARK BLVD,,SUNRISE,FL,33351,Broward,LICENSED,ISLF WESTCHESTER OF SUNRISE  LLC,06/01/2004,TERRI LYNN AMITRONE,120,Not-For-Profit,regentsparkofsunrise.com
74819,1469096,06/01/2019,08/29/2021,Nursing Home,REGENTS PARK OF WINTER PARK,558 N SEMORAN BLVD,,WINTER PARK,FL,32792,Orange,(407) 679-1515,558 N SEMORAN BLVD,,WINTER PARK,FL,32792,Orange,LICENSED,ISLF REGENTS PARK WINTER PARK  LLC,06/01/2004,ERIC CARLTON JOHNSON,120,Not-For-Profit,regentsparkofwinterpark.com
83602,1233096,07/01/2019,09/28/2021,Nursing Home,REHAB & HEALTHCARE CENTER OF CAPE CORAL,2629 DEL PRADO BLVD,,CAPE CORAL,FL,33904,Lee,(239) 574-4434,2629 DEL PRADO BLVD,,CAPE CORAL,FL,33904,Lee,LICENSED,FI - CAPE CORAL  LLC,07/01/2003,BRADLEY SCHUCKER,120,Not-For-Profit,www.rehabandhealthcarecenterofcapecoral.com
62908,12340961,07/01/2019,09/28/2021,Nursing Home,REHABILITATION AND HEALTHCARE CENTER OF TAMPA,4411 N HABANA AVE,,TAMPA,FL,33614,Hillsborough,(813) 872-2771,4411 N HABANA AVE,,TAMPA,FL,33614,Hillsborough,LICENSED,FI TAMPA LLC,07/01/2003,JACKIE AFTANAS ASHE,174,Not-For-Profit,rehabilitationandhealthcareoftampa.com
11707,1434096,04/01/2020,06/29/2022,Nursing Home,REHABILITATION CENTER AT PARK PLACE,1717 W AVERY ST,,PENSACOLA,FL,32501,Escambia,(850) 434-2355,1717 W AVERY ST,,PENSACOLA,FL,32501,Escambia,LICENSED,REHABILITATION CENTER AT PARK PLACE LLC,04/01/2014,TAMMY HARDY-FAUBER,118,For-Profit,http://trilliumhcg.com
35961074,130471072,06/01/2019,10/20/2021,Nursing Home,REHABILITATION CENTER OF LAKE CITY  THE,298 SW PROSPERITY PLACE,,LAKE CITY,FL,32024,Columbia,(386) 269-3900,298 SW PROSPERITY PLACE,,LAKE CITY,FL,32024,Columbia,LICENSED,SF BREVARD LLC,06/27/2019,BRENDA K LACY,113,For-Profit,
95005,1470096,01/01/2020,09/28/2021,Nursing Home,REHABILITATION CENTER OF THE PALM BEACHES THE,301 NORTHPOINTE PARKWAY,,WEST PALM BEACH,FL,33407,Palm Beach,(561) 712-1717,301 NORTHPOINTE PARKWAY,,WEST PALM BEACH,FL,33407,Palm Beach,LICENSED,FI - PALM BEACHES  LLC,07/01/2003,VALERIE ANN GRAY,109,Not-For-Profit,Rehabilitationcenterofthepalmbeaches.com
74811,14280961,12/04/2018,03/03/2021,Nursing Home,REHABILITATION CENTER OF WINTER PARK  THE,1700 MONROE AVE,,MAITLAND,FL,32751,Orange,(407) 647-2092,1700 MONROE AVE,,MAITLAND,FL,32751,Orange,LICENSED,MF WINTER PARK  LLC,12/04/2008,DONALD W DANIELS,180,For-Profit,
35961039,130471054,08/12/2019,11/09/2021,Nursing Home,RENAISSANCE AT THE TERRACES,26475 SOUTH TAMIAMI TRAIL,,BONITA SPRINGS,FL,34135,Lee,(239) 949-7555,26475 SOUTH TAMIAMI TRAIL,,BONITA SPRINGS,FL,34135,Lee,LICENSED,BONITA SPRINGS RETIREMENT VILLAGE  INC.,08/12/2013,SALLY BOSWELL,40,Not-For-Profit,http://www.theterracesatbonitaspring.com
95034,1198096,02/01/2020,05/01/2022,Nursing Home,RENAISSANCE HEALTH AND REHABILITATION,5065 WALLIS ROAD,,WEST PALM BEACH,FL,33415,Palm Beach,(561) 689-1799,5065 WALLIS ROAD,,WEST PALM BEACH,FL,33415,Palm Beach,LICENSED,5065 WALLIS ROAD OPERATIONS LLC,02/01/2012,FRANK  A MURPHY,120,For-Profit,www.consulatehealthcare.com
46416,1475096,07/15/2019,10/12/2021,Nursing Home,RIDGECREST NURSING AND REHABILITATION CENTER,1200 NORTH STONE STREET,,DELAND,FL,32720,Volusia,3867344334,1200 NORTH STONE STREET,,DELAND,FL,32720,Volusia,LICENSED,RIDGECREST NH  L.L.C.,07/15/2004,ASHLEY PETERS,146,For-Profit,www.greystonehealth.com
74817,14370961,02/01/2020,05/01/2022,Nursing Home,RIO PINAR HEALTH CARE,7950 LAKE UNDERHILL ROAD,,ORLANDO,FL,32822,Orange,(407) 658-2046,7950 LAKE UNDERHILL ROAD,,ORLANDO,FL,32822,Orange,LICENSED,7950 LAKE UNDERHILL ROAD OPERATIONS LLC,02/01/2012,TERRIE A BANKS,180,For-Profit,www.consulatehealthcare.com
41615,1476096,01/01/2020,12/29/2021,Nursing Home,RIVER GARDEN HEBREW HOME FOR THE AGED,11401 OLD SAINT AUGUSTINE RD,,JACKSONVILLE,FL,32258-1402,Duval,(904) 260-1818,11401 OLD SAINT AUGUSTINE RD,,JACKSONVILLE,FL,32258-1402,Duval,LICENSED,RIVER GARDEN HEBREW HOME FOR THE AGED,12/01/1990,MARTIN ALAN GOETZ,180,Not-For-Profit,www.rivergarden.org
20308,12870961,02/01/2020,05/01/2022,Nursing Home,RIVER VALLEY REHABILITATION CENTER,17884 NE CROZIER ST,,BLOUNTSTOWN,FL,32424,Calhoun,(850) 674-5464,17884 NE CROZIER ST,,BLOUNTSTOWN,FL,32424,Calhoun,LICENSED,BLOUNTSTOWN REHABILITATION CENTER  LLC,02/01/2012,DONNA MCDYER CORTES,150,For-Profit,www.rivervalleyrehab.com
22002,1477096,12/04/2018,03/03/2021,Nursing Home,RIVERCHASE HEALTH AND REHABILITATION CENTER,1017 STRONG RD,,QUINCY,FL,32351,Gadsden,(850) 875-3711,1017 STRONG RD,,QUINCY,FL,32351,Gadsden,LICENSED,NF RIVER CHASE  LLC,12/04/2008,LINDA BLACKSHEAR,120,For-Profit,
111336,1478096,03/29/2020,06/26/2022,Nursing Home,RIVERSIDE CARE CENTER,899 NW 4TH STREET,,MIAMI,FL,33128,Miami-Dade,(305) 326-1236,899 NW 4TH STREET,,MIAMI,FL,33128,Miami-Dade,LICENSED,STACEY HEALTH CARE CENTERS  INC.,02/20/1997,TEWELDEBERHAN ARAIA,120,For-Profit,
41607,1131095,05/01/2019,07/29/2021,Nursing Home,RIVERWOOD CENTER,2802 PARENTAL HOME ROAD,,JACKSONVILLE,FL,32216,Duval,(904) 721-0088,2802 PARENTAL HOME ROAD,,JACKSONVILLE,FL,32216,Duval,LICENSED,RIVERWOOD CENTER  LLC,05/01/2003,GREGORY KALMUS,240,For-Profit,www.opisriverwoodcenter.com
30401,16030961,07/01/2018,09/28/2020,Nursing Home,RIVERWOOD HEALTH & REHABILITATION CENTER,808 S COLLEY RD,,STARKE,FL,32091,Bradford,(904) 964-6220,808 S COLLEY RD,,STARKE,FL,32091,Bradford,LICENSED,RIVERWOOD HEALTH NH LLC,07/01/2014,KELVIN POWELL,120,For-Profit,www.greystonehealth.com
35961025,130471049,04/24/2020,07/22/2022,Nursing Home,RIVIERA HEALTH RESORT,6901 YUMURI STREET,,CORAL GABLES,FL,33146,Miami-Dade,(786) 517-6999,6901 YUMURI STREET,,CORAL GABLES,FL,33146,Miami-Dade,LICENSED,NEW RIVIERA NURSING & REHABILITATION CENTER  LLC,04/24/2012,KIM G. SIMMONS,223,For-Profit,www.rivierahealthresort.com
64108,14610962,10/01/2019,12/29/2021,Nursing Home,RIVIERA PALMS REHABILITATION CENTER,926 HABEN BLVD,,PALMETTO,FL,34221,Manatee,(941) 722-0553,926 HABEN BLVD,,PALMETTO,FL,34221,Manatee,LICENSED,SOVEREIGN HEALTHCARE OF PALMETTO LLC,10/01/2003,WOODIE W LEE JR,120,For-Profit,www.rivierapalmsrehab.com
70508,15340961,09/20/2019,12/18/2021,Nursing Home,ROCKLEDGE HEALTH AND REHABILITATION CENTER,587 BARTON BLVD,,ROCKLEDGE,FL,32955,Brevard,3216326300,4042 PARK OAKS BLVD,STE 300,TAMPA,FL,33610-9539,Hillsborough,LICENSED,ROCKLEDGE NH  L.L.C.,12/15/2000,DEBRA WALLACE,107,For-Profit,www.greystonehealth.com
65313,14790951,12/01/2019,02/28/2022,Nursing Home,ROHR HOME  THE,2120 MARSHALL EDWARDS DR,,BARTOW,FL,33830,Polk,(863) 519-7579,2120 MARSHALL EDWARDS DR,,BARTOW,FL,33830,Polk,LICENSED,POLK COUNTY BOARD OF COUNTY COMMISSIONERS,08/22/1996,JANET L HANCILES,60,Not-For-Profit,polk-county.net
74813,14810962,02/01/2020,05/01/2022,Nursing Home,ROSEWOOD HEALTH AND REHABILITATION CENTER,3920 ROSEWOOD WAY,,ORLANDO,FL,32808,Orange,(407) 298-9335,3920 ROSEWOOD WAY,,ORLANDO,FL,32808,Orange,LICENSED,3920 ROSEWOOD WAY OPERATIONS LLC,02/01/2012,JAMES A CLEMONS,120,For-Profit,www.consulatehealthcare.com
